#molid	SMILES	T	P	density	wDensity	hvap	wHvap	ST	wST	name
17	CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F	298	1	1.35	1	-1	-1	44.7	0.2	1-butyl-3-methylimidazolium hexafluorophosphate
19	CCCCn1cc[n+](c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.421	1	-1	-1	33.2	0.2	1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
21	CCCCn1cc[n+](c1)C.F[B-](F)(F)F	298	1	1.196	1	-1	-1	44.4	0.2	1-butyl-3-methylimidazolium tetrafluoroborate
22	CCCCn1cc[n+](c1)C.[I-]	298	1	1.472	1	-1	-1	50.8	0.2	1-butyl-3-methylimidazolium iodide
25	CCCCn1cc[n+](c1)C.[O-]C(=O)C	298	1	1.052	1	-1	-1	37.1	0.2	1-butyl-3-methylimidazolium acetate
26	CCCCn1cc[n+](c1)C.N#C[N-]C#N	298	1	1.051	1	-1	-1	47	0.2	1-butyl-3-methylimidazolium dicyanamide
27	CCCCn1cc[n+](c1)C.[Cl-]	298	1	1.081	1	-1	-1	48.1	0.2	1-butyl-3-methylimidazolium chloride
30	CCCCn1cc[n+](c1)C.FC(S(=O)(=O)[O-])(F)F	298	1	1.299	1	-1	-1	35.2	0.2	1-butyl-3-methylimidazolium trifluoromethanesulfonate
34	CCCCn1cc[n+](c1)C.[S-]C#N	298	1	1.052	1	-1	-1	46.6	0.2	1-butyl-3-methylimidazolium thiocyanate
37	CCCCn1cc[n+](c1)C.N#C[B-](C#N)(C#N)C#N	298	1	1.01	1	-1	-1	44	0.2	1-butyl-3-methyl-1H-imidazolium tetracyanoborate
38	CCCCn1cc[n+](c1)C.[O-][Cl](=O)(=O)=O	298	1	1.255	1	-1	-1	43.6	0.2	1-butyl-3-methylimidazolium perchlorate
41	CCCCn1cc[n+](c1)C.[O-]c1ccccc1	298	1	1.216	1	-1	-1	40.1	0.2	1-butyl-3-methylimidazolium phenolate
51	CCCCn1cc[n+](c1)C.[O-]C=O	298	1	1.073	1	-1	-1	45.9	0.2	3-butyl-1-methyl-1H-imidazolium formate
52	CCCCn1cc[n+](c1)C.[O-]C(=O)CCC	298	1	1.032	1	-1	-1	34.3	0.2	3-butyl-1-methyl-1H-imidazolium butanoate
54	CCCCn1cc[n+](c1)C.[O-]C(=O)C(O)C	298	1	1.1	1	-1	-1	42.7	0.2	1-butyl-3-methylimidazolium lactate
76	CCC[N+]1(C)CCCC1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.428	1	-1	-1	34.2	0.2	1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101	CCn1cc[n+](c1)C.N#C[C-](C#N)C#N	298	1	1.081	1	-1	-1	49.6	0.2	1-ethyl-3-methyl-1H-imidazolium tricyanomethanide
111	CC[n+]1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.536	1	-1	-1	37	0.2	1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide
112	CC[n+]1ccccc1.FC(S(=O)(=O)[O-])(F)F	298	1	1.405	1	-1	-1	42.3	0.2	1-ethylpyridinium triflate
114	CC[n+]1ccccc1.N#C[N-]C#N	298	1	1.119	1	-1	-1	59.2	0.2	1-ethylpyridinium dicyanamide
118	CCCC[n+]1ccccc1.F[B-](F)(F)F	298	1	1.214	1	-1	-1	46.6	0.2	1-butylpyridinium tetrafluoroborate
119	CCCC[n+]1ccccc1.FC(S(=O)(=O)[O-])(F)F	298	1	1.315	1	-1	-1	36.5	0.2	1-butylpyridinium trifluoromethanesulfonate
120	CCCC[n+]1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.45	1	-1	-1	34.3	0.2	1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide
121	CCCC[n+]1ccccc1.[O-][N+](=O)[O-]	298	1	1.189	1	-1	-1	51.7	0.2	1-butylpyridinium nitrate
124	CCCC[n+]1ccccc1.N#C[N-]C#N	298	1	1.069	1	-1	-1	55.8	0.2	1-butylpyridinium dicyanamide
126	CCCC[N+]1(C)CCCC1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.396	1	-1	-1	33.7	0.2	1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
130	CCCC[N+]1(C)CCCC1.N#C[N-]C#N	298	1	1.014	1	-1	-1	56	0.2	1-butyl-1-methylpyrrolidinium dicyanamide
131	CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N	298	1	1.007	1	-1	-1	50.2	0.2	1-butyl-1-methylpyrrolidinium tricyanomethanide
132	CCCC[N+]1(C)CCCC1.[O-]C(=O)C(F)(F)F	298	1	1.172	1	-1	-1	35.5	0.2	1-butyl-1-methylpyrrolidinium trifluoroacetate
133	CCCC[N+]1(C)CCCC1.[O-]C(=O)C	298	1	1.021	1	-1	-1	37.3	0.2	1-butyl-1-methylpyrrolidinium acetate
345	CCCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F	298	1	1.293	1	-1	-1	38.8	0.2	1-hexyl-3-methylimidazolium hexafluorophosphate
353	CCCCCCC[n+]1ccn(c1)C.F[P-](F)(F)(F)(F)F	298	1	1.264	1	-1	-1	35.9	0.2	1-heptyl-3-methylimidazolium hexafluorophosphate
354	CCCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F	298	1	1.328	1	-1	-1	41.2	0.2	1-methyl-3-pentylimidazolium hexafluorophosphate
391	CCn1cc[n+](c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.509	1	-1	-1	37.1	0.2	1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
392	CCCCCCn1cc[n+](c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.365	1	-1	-1	32.8	0.2	1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
394	CCCCCn1cc[n+](c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.403	1	-1	-1	32.7	0.2	1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide
395	CCCn1cc[n+](c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.475	1	-1	-1	34.7	0.2	1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
397	CCCCCCCCCCn1cc[n+](c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.277	1	-1	-1	30.7	0.2	1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
399	CCCCCCC[n+]1ccn(c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.345	1	-1	-1	31.7	0.2	1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
402	CCCC[n+]1cccc(c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.418	1	-1	-1	31.7	0.2	1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide
403	CCCC[n+]1ccc(cc1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	298	1	1.413	1	-1	-1	35	0.2	1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
499	CCCCCCCCn1cc[n+](c1)C.F[B-](F)(F)F	298	1	1.104	1	-1	-1	32.4	0.2	1-methyl-3-octylimidazolium tetrafluoroborate
