#molid	SMILES	density	wDensity	hvap	wHvap	ST	wST	name
3	CCC[N+]1(C)CCCC1.FS(=O)(=O)[N-]S(=O)(=O)F	1.339	1	-1	-1	0	0.2	1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide
5	CCCCCC[n+]1ccccc1.FS(=O)(=O)[N-]S(=O)(=O)F	1.302	1	-1	-1	0	0.2	1-hexylpyridinium bis(fluorosulfonyl)amide
6	CC[n+]1cccc(c1)C.FS(=O)(=O)[N-]S(=O)(=O)F	1.407	1	-1	-1	0	0.2	1-ethyl-3-methylpyridinium bis(fluorosulfonyl)amide
7	CCn1cc[n+](c1)C.FS(=O)(=O)[N-]S(=O)(=O)F	1.442	1	-1	-1	0	0.2	1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide
8	CC[n+]1ccccc1.FS(=O)(=O)[N-]S(=O)(=O)F	1.459	1	-1	-1	0	0.2	1-ethylpyridinium bis(fluorosulfonyl)amide
9	CCCC[n+]1ccccc1.FS(=O)(=O)[N-]S(=O)(=O)F	1.37	1	-1	-1	0	0.2	1-butylpyridinium bis(fluorosulfonyl)amide
11	CCCC[N+]1(C)CCCC1.FS(=O)(=O)[N-]S(=O)(=O)F	1.307	1	-1	-1	0	0.2	1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide
17	CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F	1.35	1	-1	-1	44.7	0.2	1-butyl-3-methylimidazolium hexafluorophosphate
18	CCCCn1cc[n+](c1)C.[O-]C(=O)C(F)(F)F	1.216	1	-1	-1	0	0.2	1-butyl-3-methylimidazolium trifluoroacetate
19	CCCCn1cc[n+](c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F	1.421	1	-1	-1	33.2	0.2	1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
20	CCCCn1cc[n+](c1)C.[O-][N+](=O)[O-]	1.156	1	-1	-1	0	0.2	1-butyl-3-methylimidazolium nitrate
21	CCCCn1cc[n+](c1)C.F[B-](F)(F)F	1.196	1	-1	-1	44.4	0.2	1-butyl-3-methylimidazolium tetrafluoroborate
22	CCCCn1cc[n+](c1)C.[I-]	1.472	1	-1	-1	50.8	0.2	1-butyl-3-methylimidazolium iodide
24	CCCCn1cc[n+](c1)C.[Br-]	1.284	1	-1	-1	0	0.2	1-butyl-3-methylimidazolium bromide
25	CCCCn1cc[n+](c1)C.[O-]C(=O)C	1.052	1	-1	-1	37.1	0.2	1-butyl-3-methylimidazolium acetate
26	CCCCn1cc[n+](c1)C.N#C[N-]C#N	1.051	1	-1	-1	47	0.2	1-butyl-3-methylimidazolium dicyanamide
27	CCCCn1cc[n+](c1)C.[Cl-]	1.081	1	-1	-1	48.1	0.2	1-butyl-3-methylimidazolium chloride
30	CCCCn1cc[n+](c1)C.FC(S(=O)(=O)[O-])(F)F	1.299	1	-1	-1	35.2	0.2	1-butyl-3-methylimidazolium trifluoromethanesulfonate
34	CCCCn1cc[n+](c1)C.[S-]C#N	1.052	1	-1	-1	46.6	0.2	1-butyl-3-methylimidazolium thiocyanate
